month,p_distance,country
2021-11-01,0.00100285639684232,South Korea
2021-12-01,0.00528980124232828,South Korea
2022-01-01,0.04900702621882591,South Korea
2022-02-01,0.05369917826807395,South Korea
2022-03-01,0.03926274945698108,South Korea
2022-04-01,0.02393401461045288,South Korea
2022-05-01,0.01237624303246897,South Korea
2022-06-01,0.00848881646022918,South Korea
2022-07-01,0.01172888751302083,South Korea
2022-08-01,0.009588863515625,South Korea
2022-09-01,0.00620389399088541,South Korea
2022-10-01,0.00512224052083333,South Korea
2022-11-01,0.00968673463541666,South Korea
2022-12-01,0.01841826627604166,South Korea
2023-01-01,0.024704551796875,South Korea
2023-02-01,0.02374640171875,South Korea
2023-03-01,0.021448169375,South Korea
2023-04-01,0.02117660682291666,South Korea
2023-05-01,0.01811062971068123,South Korea
2023-06-01,0.01317081939973058,South Korea
2023-07-01,0.00923207725737026,South Korea
2023-08-01,0.00761144610574695,South Korea
2023-09-01,0.00878967046475906,South Korea
2023-10-01,0.01010508437449783,South Korea
2023-11-01,0.01113645125295755,South Korea
2023-12-01,0.02301380162675779,South Korea
2024-01-01,0.04526935695012931,South Korea
2024-02-01,0.03967452169505905,South Korea
2024-03-01,0.02068303111472827,South Korea
2024-04-01,0.0071140683016683,South Korea
2024-05-01,0.00673356057415488,South Korea
2024-06-01,0.0131874345325083,South Korea
2024-07-01,0.00846641223115909,South Korea
2024-08-01,0.00645699145600933,South Korea
2024-09-01,0.00561765297295285,South Korea
2024-10-01,0.00505167524112936,South Korea
2024-11-01,0.00507823887305366,South Korea
2024-12-01,0.00545942569178202,South Korea
2025-01-01,0.00651855321952155,South Korea
2025-02-01,0.00642757249663879,South Korea
2020-01-01,0,Singapore
2020-02-01,0,Singapore
2020-03-01,0,Singapore
2020-04-01,4.022272700253343e-5,Singapore
2020-05-01,1.2848586894386e-4,Singapore
2020-06-01,7.110234209746578e-5,Singapore
2020-07-01,1.3245745985544e-4,Singapore
2020-08-01,1.6140693634282e-4,Singapore
2020-09-01,1.965432773351e-4,Singapore
2020-10-01,6.1795980715813e-4,Singapore
2020-11-01,8.1350234459186e-4,Singapore
2020-12-01,0.00179436056437261,Singapore
2021-01-01,0.00265382251775684,Singapore
2021-02-01,0.00354897724575369,Singapore
2021-03-01,0.00829007543401732,Singapore
2021-04-01,0.01045257579294368,Singapore
2021-05-01,0.01210827100492571,Singapore
2021-06-01,0.00735953791855557,Singapore
2021-07-01,0.00418022649190963,Singapore
2021-08-01,6.8652446713385e-4,Singapore
2021-09-01,1.3884957711006e-4,Singapore
2021-10-01,6.614207801122201e-5,Singapore
2021-11-01,8.898065908714156e-5,Singapore
2021-12-01,0.02902468265945756,Singapore
2022-01-01,0.05751377870993035,Singapore
2022-02-01,0.045092526069647,Singapore
2022-03-01,0.03085894991237792,Singapore
2022-04-01,0.01358364158693928,Singapore
2022-05-01,0.00670226415713599,Singapore
2022-06-01,0.00927031517182121,Singapore
2022-07-01,0.00945054795338377,Singapore
2022-08-01,0.01112510483315854,Singapore
2022-09-01,0.01980176802225964,Singapore
2022-10-01,0.02631946339894031,Singapore
2022-11-01,0.02309416338819783,Singapore
2022-12-01,0.02246829599343453,Singapore
2023-01-01,0.0225525460465779,Singapore
2023-02-01,0.02296708401113803,Singapore
2023-03-01,0.02254889710395836,Singapore
2023-04-01,0.01432039976682192,Singapore
2023-05-01,0.0082369791033695,Singapore
2023-06-01,0.0066854589196016,Singapore
2023-07-01,0.00645639065786501,Singapore
2023-08-01,0.00798338525822154,Singapore
2023-09-01,0.01041039464981054,Singapore
2023-10-01,0.00969004594842362,Singapore
2023-11-01,0.02474942620264796,Singapore
2023-12-01,0.04240999984696338,Singapore
2024-01-01,0.03595336506534209,Singapore
2024-02-01,0.02115648247534761,Singapore
2024-03-01,0.01227402932780868,Singapore
2024-04-01,0.00843656373970227,Singapore
2024-05-01,0.0041469844570513,Singapore
2024-06-01,0.00222923841883049,Singapore
2024-07-01,0.00493195612019906,Singapore
2024-08-01,0.00935689964873874,Singapore
