week,country,nucleotide_diversity,sample_size,year_week
2019-12-01,China,1.4271442842871414e-4,22,2019-W48
2019-12-08,China,1.4175162212822656e-4,111,2019-W49
2019-12-15,China,1.4078881582773898e-4,200,2019-W50
2019-12-22,China,1.3982600952725142e-4,289,2019-W51
2019-12-29,China,1.3886320322676384e-4,378,2019-W52
2020-01-05,China,1.5115755231483448e-4,437,2020-W01
2020-01-12,China,1.7339476794432377e-4,474,2020-W02
2020-01-19,China,1.956319835738131e-4,511,2020-W03
2020-01-26,China,2.1786919920330238e-4,547,2020-W04
2020-02-02,China,2.3956539360508083e-4,569,2020-W05
2020-02-09,China,2.5801546064059414e-4,499,2020-W06
2020-02-16,China,2.764655276761075e-4,430,2020-W07
2020-02-23,China,2.949155947116208e-4,360,2020-W08
2020-03-01,China,3.133656617471341e-4,290,2020-W09
2020-03-08,China,2.980333920056949e-4,243,2020-W10
2020-03-15,China,2.8270112226425574e-4,197,2020-W11
2020-03-22,China,2.6736885252281653e-4,150,2020-W12
2020-03-29,China,2.520365827813774e-4,104,2020-W13
2020-04-05,China,2.406454613675442e-4,73,2020-W14
2020-04-12,China,2.322102011994156e-4,55,2020-W15
2020-04-19,China,2.2377494103128698e-4,37,2020-W16
2020-04-26,China,2.1533968086315835e-4,18,2020-W17
2020-05-03,China,2.2570925254579362e-4,6,2020-W18
2020-05-10,China,2.8309090385533867e-4,9,2020-W19
2020-05-17,China,3.404725551648837e-4,12,2020-W20
2020-05-24,China,3.9785420647442876e-4,15,2020-W21
2020-05-31,China,4.552358577839738e-4,18,2020-W22
2020-06-07,China,4.0272519264115904e-4,16,2020-W23
2020-06-14,China,3.3189914142295096e-4,14,2020-W24
2020-06-21,China,2.610730902047429e-4,12,2020-W25
2020-06-28,China,1.902470389865348e-4,10,2020-W26
2020-07-05,China,2.501960120917625e-4,12,2020-W27
2020-07-12,China,4.08226253439567e-4,18,2020-W28
2020-07-19,China,5.662564947873715e-4,24,2020-W29
2020-07-26,China,7.24286736135176e-4,30,2020-W30
2020-08-02,China,8.475897532646364e-4,34,2020-W31
2020-08-09,China,7.625294250840316e-4,30,2020-W32
2020-08-16,China,6.774690969034268e-4,25,2020-W33
2020-08-23,China,5.924087687228219e-4,20,2020-W34
2020-08-30,China,5.073484405422172e-4,15,2020-W35
2020-09-06,China,4.2937309969825067e-4,14,2020-W36
2020-09-13,China,3.5423175378893946e-4,14,2020-W37
2020-09-20,China,2.7909040787962814e-4,13,2020-W38
2020-09-27,China,2.0394906197031688e-4,13,2020-W39
2020-10-04,China,1.8955590059226108e-4,13,2020-W40
2020-10-11,China,2.561603185892124e-4,12,2020-W41
2020-10-18,China,3.227647365861638e-4,12,2020-W42
2020-10-25,China,3.893691545831152e-4,11,2020-W43
2020-11-01,China,4.559735725800666e-4,11,2020-W44
2020-11-08,China,5.22577990577018e-4,11,2020-W45
2020-11-15,China,5.891824085739694e-4,10,2020-W46
2020-11-22,China,6.557868265709206e-4,10,2020-W47
2020-11-29,China,7.223912445678722e-4,9,2020-W48
2020-12-06,China,8.017539957689971e-4,11,2020-W49
2020-12-13,China,8.862200802517914e-4,13,2020-W50
2020-12-20,China,9.706861647345857e-4,15,2020-W51
2020-12-27,China,0.00105515224921738,17,2020-W52
2021-01-03,China,0.0010890049064797899,20,2021-W01
2021-01-10,China,9.963239956912388e-4,23,2021-W02
2021-01-17,China,9.036430849026878e-4,27,2021-W03
2021-01-24,China,8.109621741141369e-4,30,2021-W04
2021-01-31,China,7.182812633255859e-4,33,2021-W05
2021-02-07,China,6.25600352537035e-4,37,2021-W06
2021-02-14,China,5.329194417484839e-4,40,2021-W07
2021-02-21,China,4.4023853095993294e-4,43,2021-W08
2021-02-28,China,3.47557620171382e-4,47,2021-W09
2021-03-07,China,4.714567127489561e-4,51,2021-W10
2021-03-14,China,6.314524725542176e-4,55,2021-W11
2021-03-21,China,7.91448232359479e-4,59,2021-W12
2021-03-28,China,9.514439921647405e-4,64,2021-W13
2021-04-04,China,0.001110235857302253,69,2021-W14
2021-04-11,China,0.0012674225295494334,76,2021-W15
2021-04-18,China,0.0014246092017966136,82,2021-W16
2021-04-25,China,0.001581795874043794,89,2021-W17
2021-05-02,China,0.0016948054903211185,96,2021-W18
2021-05-09,China,0.0015427527707793072,101,2021-W19
2021-05-16,China,0.001390700051237496,107,2021-W20
2021-05-23,China,0.0012386473316956846,113,2021-W21
2021-05-30,China,0.0010865946121538734,118,2021-W22
2021-06-06,China,0.001059042211741855,120,2021-W23
2021-06-13,China,0.0010812899389817541,120,2021-W24
2021-06-20,China,0.001103537666221653,119,2021-W25
2021-06-27,China,0.0011257853934615522,119,2021-W26
2021-07-04,China,0.0010973772964563268,118,2021-W27
2021-07-11,China,0.0010014281004576027,116,2021-W28
2021-07-18,China,9.054789044588784e-4,115,2021-W29
2021-07-25,China,8.095297084601542e-4,113,2021-W30
2021-08-01,China,7.1358051246143e-4,111,2021-W31
2021-08-08,China,6.14704764593448e-4,146,2021-W32
2021-08-15,China,5.158290167254659e-4,181,2021-W33
2021-08-22,China,4.16953268857484e-4,216,2021-W34
2021-08-29,China,3.1807752098950197e-4,251,2021-W35
2021-09-05,China,3.879223784794255e-4,244,2021-W36
2021-09-12,China,5.843076899877782e-4,204,2021-W37
2021-09-19,China,7.80693001496131e-4,165,2021-W38
2021-09-26,China,9.770783130044838e-4,126,2021-W39
2021-10-03,China,0.001070207535263396,106,2021-W40
2021-10-10,China,9.051965343987075e-4,136,2021-W41
2021-10-17,China,7.401855335340189e-4,166,2021-W42
2021-10-24,China,5.751745326693303e-4,195,2021-W43
2021-10-31,China,4.101635318046416e-4,225,2021-W44
2021-11-07,China,0.0012190251839196758,199,2021-W45
2021-11-14,China,0.0021901989448646635,164,2021-W46
2021-11-21,China,0.003161372705809651,130,2021-W47
2021-11-28,China,0.004132546466754639,95,2021-W48
2021-12-05,China,0.004489670061387253,120,2021-W49
2021-12-12,China,0.004386256031285585,191,2021-W50
2021-12-19,China,0.004282842001183918,261,2021-W51
2021-12-26,China,0.0041794279710822505,332,2021-W52
2022-01-02,China,0.0040511565427573904,386,2022-W01
2022-01-09,China,0.003773740725093375,341,2022-W02
2022-01-16,China,0.0034963249074293594,296,2022-W03
2022-01-23,China,0.0032189090897653443,251,2022-W04
2022-01-30,China,0.002941493272101329,206,2022-W05
2022-02-06,China,0.002466706344651267,286,2022-W06
2022-02-13,China,0.001912970973286787,416,2022-W07
2022-02-20,China,0.0013592356019223068,547,2022-W08
2022-02-27,China,8.055002305578265e-4,677,2022-W09
2022-03-06,China,6.7256030745296e-4,653,2022-W10
2022-03-13,China,7.079385636519385e-4,568,2022-W11
2022-03-20,China,7.433168198509169e-4,483,2022-W12
2022-03-27,China,7.786950760498954e-4,398,2022-W13
2022-04-03,China,7.626596397532408e-4,364,2022-W14
2022-04-10,China,6.180899722175037e-4,457,2022-W15
2022-04-17,China,4.735203046817666e-4,550,2022-W16
2022-04-24,China,3.2895063714602946e-4,644,2022-W17
2022-05-01,China,1.843809696102924e-4,737,2022-W18
2022-05-08,China,4.6242022175885635e-4,629,2022-W19
2022-05-15,China,7.404594739074203e-4,521,2022-W20
2022-05-22,China,0.0010184987260559843,413,2022-W21
2022-05-29,China,0.0012965379782045483,305,2022-W22
2022-06-05,China,0.0013546373178011356,260,2022-W23
2022-06-12,China,0.0012477817229837403,261,2022-W24
2022-06-19,China,0.001140926128166345,263,2022-W25
2022-06-26,China,0.0010340705333489496,264,2022-W26
2022-07-03,China,9.257138285632125e-4,292,2022-W27
2022-07-10,China,8.136043488566206e-4,388,2022-W28
2022-07-17,China,7.014948691500286e-4,483,2022-W29
2022-07-24,China,5.893853894434367e-4,578,2022-W30
2022-07-31,China,4.7727590973684487e-4,673,2022-W31
2022-08-07,China,4.5771395743113226e-4,642,2022-W32
2022-08-14,China,4.535765930255662e-4,590,2022-W33
2022-08-21,China,4.494392286200001e-4,538,2022-W34
2022-08-28,China,4.45301864214434e-4,486,2022-W35
2022-09-04,China,4.7574855197033273e-4,465,2022-W36
2022-09-11,China,5.523073092748513e-4,487,2022-W37
2022-09-18,China,6.288660665793698e-4,508,2022-W38
2022-09-25,China,7.054248238838884e-4,530,2022-W39
2022-10-02,China,7.623193120020125e-4,562,2022-W40
2022-10-09,China,7.012281850017701e-4,660,2022-W41
2022-10-16,China,6.401370580015277e-4,758,2022-W42
2022-10-23,China,5.790459310012853e-4,855,2022-W43
2022-10-30,China,5.17954804001043e-4,953,2022-W44
2022-11-06,China,5.185326336428918e-4,982,2022-W45
2022-11-13,China,5.437780459415771e-4,982,2022-W46
2022-11-20,China,5.690234582402626e-4,983,2022-W47
2022-11-27,China,5.942688705389479e-4,984,2022-W48
2022-12-04,China,6.016429180161349e-4,985,2022-W49
2022-12-11,China,5.851884790646572e-4,986,2022-W50
2022-12-18,China,5.687340401131796e-4,987,2022-W51
2022-12-25,China,5.522796011617019e-4,989,2022-W52
2023-01-01,China,5.358251622102243e-4,990,2023-W01
2023-01-08,China,5.86146109246259e-4,989,2023-W02
2023-01-15,China,6.364670562822938e-4,988,2023-W03
2023-01-22,China,6.867880033183284e-4,987,2023-W04
2023-01-29,China,7.371089503543631e-4,986,2023-W05
2023-02-05,China,8.065046162619789e-4,987,2023-W06
2023-02-12,China,8.902063213232804e-4,988,2023-W07
2023-02-19,China,9.73908026384582e-4,989,2023-W08
2023-02-26,China,0.0010576097314458836,990,2023-W09
2023-03-05,China,0.0013259847889216532,985,2023-W10
2023-03-12,China,0.001732864860708274,975,2023-W11
2023-03-19,China,0.0021397449324948945,966,2023-W12
2023-03-26,China,0.002546625004281515,956,2023-W13
2023-04-02,China,0.0028457885358365927,948,2023-W14
2023-04-09,China,0.0024986528260024115,944,2023-W15
2023-04-16,China,0.00215151711616823,941,2023-W16
2023-04-23,China,0.0018043814063340487,938,2023-W17
2023-04-30,China,0.0014572456964998674,934,2023-W18
2023-05-07,China,0.0014027148068595377,932,2023-W19
2023-05-14,China,0.0013969513872515169,930,2023-W20
2023-05-21,China,0.0013911879676434958,928,2023-W21
2023-05-28,China,0.001385424548035475,926,2023-W22
2023-06-04,China,0.001385937385191811,926,2023-W23
2023-06-11,China,0.0013948185647006234,929,2023-W24
2023-06-18,China,0.0014036997442094356,932,2023-W25
2023-06-25,China,0.001412580923718248,935,2023-W26
2023-07-02,China,0.0014119055987898525,937,2023-W27
2023-07-09,China,0.0013538912472382105,935,2023-W28
2023-07-16,China,0.0012958768956865686,934,2023-W29
2023-07-23,China,0.0012378625441349267,932,2023-W30
2023-07-30,China,0.0011798481925832847,930,2023-W31
2023-08-06,China,0.0011409927918400314,926,2023-W32
2023-08-13,China,0.0011098009714201338,920,2023-W33
2023-08-20,China,0.001078609151000236,914,2023-W34
2023-08-27,China,0.0010474173305803384,908,2023-W35
2023-09-03,China,0.0010286130592065746,904,2023-W36
2023-09-10,China,0.001040777660448146,902,2023-W37
2023-09-17,China,0.0010529422616897173,901,2023-W38
2023-09-24,China,0.0010651068629312886,900,2023-W39
2023-10-01,China,0.00107727146417286,899,2023-W40
2023-10-08,China,0.0012161303575628148,903,2023-W41
2023-10-15,China,0.0013549892509527697,907,2023-W42
2023-10-22,China,0.0014938481443427245,911,2023-W43
2023-10-29,China,0.0016327070377326793,914,2023-W44
2023-11-05,China,0.0021787907041773144,898,2023-W45
2023-11-12,China,0.00303029295041296,866,2023-W46
2023-11-19,China,0.0038817951966486058,835,2023-W47
2023-11-26,China,0.004733297442884252,804,2023-W48
2023-12-03,China,0.005369265819692417,778,2023-W49
2023-12-10,China,0.005466399522931882,767,2023-W50
2023-12-17,China,0.005563533226171346,756,2023-W51
2023-12-24,China,0.005660666929410811,745,2023-W52
2023-12-31,China,0.005757800632650276,735,2023-W53
2024-01-07,China,0.004966559942857317,763,2024-W01
2024-01-14,China,0.004027256854225619,798,2024-W02
2024-01-21,China,0.0030879537655939225,834,2024-W03
2024-01-28,China,0.002148650676962225,869,2024-W04
2024-02-04,China,0.0015488061429121585,891,2024-W05
2024-02-11,China,0.001401573014970932,895,2024-W06
2024-02-18,China,0.0012543398870297055,898,2024-W07
2024-02-25,China,0.001107106759088479,902,2024-W08
2024-03-03,China,9.929431001758932e-4,905,2024-W09
2024-03-10,China,9.614531138349091e-4,904,2024-W10
2024-03-17,China,9.29963127493925e-4,903,2024-W11
2024-03-24,China,8.98473141152941e-4,902,2024-W12
2024-03-31,China,8.669831548119569e-4,901,2024-W13
2024-04-07,China,8.965535705547128e-4,899,2024-W14
2024-04-14,China,9.36300719978092e-4,896,2024-W15
2024-04-21,China,9.760478694014711e-4,893,2024-W16
2024-04-28,China,0.0010157950188248504,890,2024-W17
2024-05-05,China,0.0010245011169051324,884,2024-W18
2024-05-12,China,0.0010099264264780917,875,2024-W19
2024-05-19,China,9.95351736051051e-4,866,2024-W20
2024-05-26,China,9.807770456240104e-4,858,2024-W21
2024-06-02,China,9.729096432415045e-4,852,2024-W22
2024-06-09,China,0.0010052859691262082,863,2024-W23
2024-06-16,China,0.001037662295010912,874,2024-W24
2024-06-23,China,0.0010700386208956159,885,2024-W25
2024-06-30,China,0.0011024149467803196,896,2024-W26
2024-07-07,China,0.0011430104189146246,896,2024-W27
2024-07-14,China,0.0011849757487571964,893,2024-W28
2024-07-21,China,0.0012269410785997682,890,2024-W29
2024-07-28,China,0.0012689064084423403,888,2024-W30
2024-08-04,China,0.001311187151596,874,2024-W31
2024-08-11,China,0.0013538884458311098,844,2024-W32
2024-08-18,China,0.0013965897400662198,815,2024-W33
2024-08-25,China,0.0014392910343013299,786,2024-W34
2024-09-01,China,0.00148199232853644,757,2024-W35
2024-09-08,China,0.001516714726145899,646,2024-W36
2024-09-15,China,0.0015514371237553579,536,2024-W37
2024-09-22,China,0.001586159521364817,425,2024-W38
2024-09-29,China,0.001620881918974276,315,2024-W39
2024-10-06,China,0.0016614849781548936,260,2024-W40
2024-10-13,China,0.0017044403019639746,229,2024-W41
2024-10-20,China,0.0017473956257730554,197,2024-W42
2024-10-27,China,0.0017903509495821365,166,2024-W43
2024-11-03,China,0.0018116335206065047,146,2024-W44
2024-11-10,China,0.001778734209669091,156,2024-W45
2024-11-17,China,0.0017458348987316773,167,2024-W46
2024-11-24,China,0.0017129355877942636,178,2024-W47
2024-12-01,China,0.00168003627685685,188,2024-W48
2024-12-08,China,0.0015921685831764196,155,2024-W49
2024-12-15,China,0.0015043008894959893,123,2024-W50
2024-12-22,China,0.001416433195815559,90,2024-W51
2024-12-29,China,0.0013285655021351287,57,2024-W52
2025-01-05,China,0.0014116674611395204,46,2025-W01
2025-01-12,China,0.0016229966596575283,50,2025-W02
2025-01-19,China,0.0018343258581755364,55,2025-W03
2025-01-26,China,0.0020456550566935443,60,2025-W04
2019-12-29,Japan,4.757147614290472e-5,11,2019-W52
2020-01-05,Japan,5.048824032055728e-5,27,2020-W01
2020-01-12,Japan,5.559257763144925e-5,55,2020-W02
2020-01-19,Japan,6.069691494234122e-5,82,2020-W03
2020-01-26,Japan,6.580125225323318e-5,110,2020-W04
2020-02-02,Japan,7.421236970365891e-5,152,2020-W05
2020-02-09,Japan,1.0246416799128709e-4,277,2020-W06
2020-02-16,Japan,1.3071596627891525e-4,402,2020-W07
2020-02-23,Japan,1.5896776456654342e-4,528,2020-W08
2020-03-01,Japan,1.872195628541716e-4,653,2020-W09
2020-03-08,Japan,1.6948487305462324e-4,727,2020-W10
2020-03-15,Japan,1.5175018325507488e-4,801,2020-W11
2020-03-22,Japan,1.3401549345552655e-4,875,2020-W12
2020-03-29,Japan,1.1628080365597818e-4,949,2020-W13
2020-04-05,Japan,1.1778438970405182e-4,910,2020-W14
2020-04-12,Japan,1.3371668263784193e-4,785,2020-W15
2020-04-19,Japan,1.4964897557163205e-4,661,2020-W16
2020-04-26,Japan,1.655812685054222e-4,536,2020-W17
2020-05-03,Japan,1.848041088156657e-4,445,2020-W18
2020-05-10,Japan,2.122533175670427e-4,440,2020-W19
2020-05-17,Japan,2.397025263184197e-4,434,2020-W20
2020-05-24,Japan,2.671517350697967e-4,428,2020-W21
2020-05-31,Japan,2.9460094382117373e-4,423,2020-W22
2020-06-07,Japan,2.7792683609332804e-4,532,2020-W23
2020-06-14,Japan,2.5389884228561193e-4,661,2020-W24
2020-06-21,Japan,2.298708484778958e-4,789,2020-W25
2020-06-28,Japan,2.0584285467017965e-4,918,2020-W26
2020-07-05,Japan,2.0155953076612536e-4,974,2020-W27
2020-07-12,Japan,2.120847092898174e-4,974,2020-W28
2020-07-19,Japan,2.2260988781350945e-4,975,2020-W29
2020-07-26,Japan,2.3313506633720148e-4,976,2020-W30
2020-08-02,Japan,2.4513351567599645e-4,977,2020-W31
2020-08-09,Japan,2.659715899054091e-4,978,2020-W32
2020-08-16,Japan,2.8680966413482175e-4,979,2020-W33
2020-08-23,Japan,3.0764773836423437e-4,981,2020-W34
2020-08-30,Japan,3.28485812593647e-4,982,2020-W35
2020-09-06,Japan,3.4036863861026083e-4,983,2020-W36
2020-09-13,Japan,3.4866936534175513e-4,984,2020-W37
2020-09-20,Japan,3.569700920732494e-4,985,2020-W38
2020-09-27,Japan,3.652708188047437e-4,985,2020-W39
2020-10-04,Japan,3.687272433072467e-4,986,2020-W40
2020-10-11,Japan,3.6572459817109474e-4,986,2020-W41
2020-10-18,Japan,3.627219530349428e-4,986,2020-W42
2020-10-25,Japan,3.5971930789879076e-4,986,2020-W43
2020-11-01,Japan,3.567166627626388e-4,986,2020-W44
2020-11-08,Japan,3.77775562041898e-4,986,2020-W45
2020-11-15,Japan,3.988344613211572e-4,986,2020-W46
2020-11-22,Japan,4.1989336060041646e-4,985,2020-W47
2020-11-29,Japan,4.4095225987967566e-4,985,2020-W48
2020-12-06,Japan,4.8322775745483277e-4,983,2020-W49
2020-12-13,Japan,5.339898943483491e-4,979,2020-W50
2020-12-20,Japan,5.847520312418653e-4,976,2020-W51
2020-12-27,Japan,6.355141681353817e-4,972,2020-W52
2021-01-03,Japan,6.955320997898628e-4,971,2021-W01
2021-01-10,Japan,7.786895183467563e-4,973,2021-W02
2021-01-17,Japan,8.618469369036497e-4,976,2021-W03
2021-01-24,Japan,9.450043554605431e-4,979,2021-W04
2021-01-31,Japan,0.0010281617740174366,982,2021-W05
2021-02-07,Japan,0.0011431877433831872,984,2021-W06
2021-02-14,Japan,0.001263525137883747,987,2021-W07
2021-02-21,Japan,0.0013838625323843072,989,2021-W08
2021-02-28,Japan,0.0015041999268848672,992,2021-W09
2021-03-07,Japan,0.0014440535799022222,988,2021-W10
2021-03-14,Japan,0.0013538266093390432,984,2021-W11
2021-03-21,Japan,0.0012635996387758643,980,2021-W12
2021-03-28,Japan,0.001173372668212685,975,2021-W13
2021-04-04,Japan,0.0010848815655860944,972,2021-W14
2021-04-11,Japan,9.987049535416213e-4,971,2021-W15
2021-04-18,Japan,9.125283414971482e-4,970,2021-W16
2021-04-25,Japan,8.26351729452675e-4,969,2021-W17
2021-05-02,Japan,7.616294514874686e-4,966,2021-W18
2021-05-09,Japan,8.256331779978616e-4,955,2021-W19
2021-05-16,Japan,8.896369045082546e-4,944,2021-W20
2021-05-23,Japan,9.536406310186476e-4,933,2021-W21
2021-05-30,Japan,0.0010176443575290405,922,2021-W22
2021-06-06,Japan,0.0011555478795687133,920,2021-W23
2021-06-13,Japan,0.001323011319820098,921,2021-W24
2021-06-20,Japan,0.0014904747600714826,922,2021-W25
2021-06-27,Japan,0.0016579382003228673,922,2021-W26
2021-07-04,Japan,0.0016390906807247376,921,2021-W27
2021-07-11,Japan,0.001371828547993922,915,2021-W28
2021-07-18,Japan,0.0011045664152631064,909,2021-W29
2021-07-25,Japan,8.373042825322908e-4,904,2021-W30
2021-08-01,Japan,5.700421498014752e-4,898,2021-W31
2021-08-08,Japan,5.197273340036394e-4,906,2021-W32
2021-08-15,Japan,4.694125182058035e-4,914,2021-W33
2021-08-22,Japan,4.190977024079677e-4,922,2021-W34
2021-08-29,Japan,3.687828866101318e-4,931,2021-W35
2021-09-05,Japan,3.653791995070993e-4,939,2021-W36
2021-09-12,Japan,0.00039715885892516927,948,2021-W37
2021-09-19,Japan,4.289385183432392e-4,956,2021-W38
2021-09-26,Japan,4.6071817776130924e-4,965,2021-W39
2021-10-03,Japan,4.952360456298514e-4,961,2021-W40
2021-10-10,Japan,5.36599434624574e-4,924,2021-W41
2021-10-17,Japan,5.779628236192966e-4,887,2021-W42
2021-10-24,Japan,6.193262126140192e-4,851,2021-W43
2021-10-31,Japan,6.606896016087417e-4,814,2021-W44
2021-11-07,Japan,0.0014379882499465572,845,2021-W45
2021-11-14,Japan,0.0023379427748415546,887,2021-W46
2021-11-21,Japan,0.003237897299736552,928,2021-W47
2021-11-28,Japan,0.00413785182463155,970,2021-W48
2021-12-05,Japan,0.0040598899484304415,985,2021-W49
2021-12-12,Japan,0.0032484907714072538,979,2021-W50
2021-12-19,Japan,0.0024370915943840664,973,2021-W51
2021-12-26,Japan,0.0016256924173608791,968,2021-W52
2022-01-02,Japan,9.209495233145133e-4,961,2022-W01
2022-01-09,Japan,8.561443271290781e-4,944,2022-W02
2022-01-16,Japan,7.91339130943643e-4,927,2022-W03
2022-01-23,Japan,7.265339347582078e-4,910,2022-W04
2022-01-30,Japan,6.617287385727727e-4,894,2022-W05
2022-02-06,Japan,8.924309596783776e-4,896,2022-W06
2022-02-13,Japan,0.0012413361477003984,905,2022-W07
2022-02-20,Japan,0.001590241335722419,915,2022-W08
2022-02-27,Japan,0.0019391465237444398,924,2022-W09
2022-03-06,Japan,0.0019179555795697275,932,2022-W10
2022-03-13,Japan,0.0017487261825163225,939,2022-W11
2022-03-20,Japan,0.0015794967854629173,947,2022-W12
2022-03-27,Japan,0.0014102673884095122,954,2022-W13
2022-04-03,Japan,0.001244170386422272,959,2022-W14
2022-04-10,Japan,0.0010859043721004446,957,2022-W15
2022-04-17,Japan,9.276383577786172e-4,955,2022-W16
2022-04-24,Japan,7.693723434567896e-4,954,2022-W17
2022-05-01,Japan,6.111063291349623e-4,952,2022-W18
2022-05-08,Japan,6.389469845030188e-4,956,2022-W19
2022-05-15,Japan,6.667876398710751e-4,960,2022-W20
2022-05-22,Japan,6.946282952391316e-4,964,2022-W21
2022-05-29,Japan,7.224689506071881e-4,968,2022-W22
2022-06-05,Japan,7.096992036171189e-4,970,2022-W23
2022-06-12,Japan,6.664716548584555e-4,969,2022-W24
2022-06-19,Japan,6.23244106099792e-4,969,2022-W25
2022-06-26,Japan,5.800165573411286e-4,968,2022-W26
2022-07-03,Japan,5.362893605250694e-4,965,2022-W27
2022-07-10,Japan,4.913130435655208e-4,957,2022-W28
2022-07-17,Japan,4.463367266059723e-4,948,2022-W29
2022-07-24,Japan,4.013604096464238e-4,939,2022-W30
2022-07-31,Japan,3.563840926868752e-4,930,2022-W31
2022-08-07,Japan,3.602382193817426e-4,939,2022-W32
2022-08-14,Japan,3.7223075335234603e-4,951,2022-W33
2022-08-21,Japan,3.8422328732294945e-4,963,2022-W34
2022-08-28,Japan,3.962158212935528e-4,974,2022-W35
2022-09-04,Japan,4.2392859768039965e-4,980,2022-W36
2022-09-11,Japan,4.7260169728890425e-4,979,2022-W37
2022-09-18,Japan,5.212747968974089e-4,978,2022-W38
2022-09-25,Japan,5.699478965059137e-4,976,2022-W39
2022-10-02,Japan,6.233538979909065e-4,973,2022-W40
2022-10-09,Japan,7.051573107348287e-4,961,2022-W41
2022-10-16,Japan,7.869607234787509e-4,949,2022-W42
2022-10-23,Japan,8.687641362226731e-4,937,2022-W43
2022-10-30,Japan,9.505675489665953e-4,924,2022-W44
2022-11-06,Japan,0.0010144149872284133,917,2022-W45
2022-11-13,Japan,0.0010710800356973896,911,2022-W46
2022-11-20,Japan,0.0011277450841663658,905,2022-W47
2022-11-27,Japan,0.0011844101326353423,898,2022-W48
2022-12-04,Japan,0.001254914580469538,895,2022-W49
2022-12-11,Japan,0.0013438715607906936,894,2022-W50
2022-12-18,Japan,0.001432828541111849,893,2022-W51
2022-12-25,Japan,0.0015217855214330045,893,2022-W52
2023-01-01,Japan,0.00161074250175416,892,2023-W01
2023-01-08,Japan,0.001671609282412699,893,2023-W02
2023-01-15,Japan,0.001732476063071238,893,2023-W03
2023-01-22,Japan,0.001793342843729777,894,2023-W04
2023-01-29,Japan,0.0018542096243883161,895,2023-W05
2023-02-05,Japan,0.0020832946287364885,896,2023-W06
2023-02-12,Japan,0.002438543300851886,897,2023-W07
2023-02-19,Japan,0.0027937919729672835,898,2023-W08
2023-02-26,Japan,0.0031490406450826814,899,2023-W09
2023-03-05,Japan,0.003228487260290079,893,2023-W10
2023-03-12,Japan,0.0031010823328164764,881,2023-W11
2023-03-19,Japan,0.0029736774053428744,869,2023-W12
2023-03-26,Japan,0.0028462724778692723,856,2023-W13
2023-04-02,Japan,0.002726398925028768,842,2023-W14
2023-04-09,Japan,0.002651713619986854,810,2023-W15
2023-04-16,Japan,0.0025770283149449402,779,2023-W16
2023-04-23,Japan,0.002502343009903026,748,2023-W17
2023-04-30,Japan,0.002427657704861112,716,2023-W18
2023-05-07,Japan,0.002371548055394304,692,2023-W19
2023-05-14,Japan,0.0023185343485233475,670,2023-W20
2023-05-21,Japan,0.0022655206416523905,647,2023-W21
2023-05-28,Japan,0.002212506934781434,624,2023-W22
2023-06-04,Japan,0.002181821566539775,608,2023-W23
2023-06-11,Japan,0.0021809073164705136,601,2023-W24
2023-06-18,Japan,0.002179993066401252,595,2023-W25
2023-06-25,Japan,0.00217907881633199,588,2023-W26
2023-07-02,Japan,0.002182292683053213,583,2023-W27
2023-07-09,Japan,0.0022102752505173432,589,2023-W28
2023-07-16,Japan,0.002238257817981474,595,2023-W29
2023-07-23,Japan,0.002266240385445604,601,2023-W30
2023-07-30,Japan,0.002294222952909734,607,2023-W31
2023-08-06,Japan,0.0023512021483107905,610,2023-W32
2023-08-13,Japan,0.002419779994886617,612,2023-W33
2023-08-20,Japan,0.002488357841462443,613,2023-W34
2023-08-27,Japan,0.00255693568803827,615,2023-W35
2023-09-03,Japan,0.002615825120940371,618,2023-W36
2023-09-10,Japan,0.002650493519658158,624,2023-W37
2023-09-17,Japan,0.0026851619183759453,629,2023-W38
2023-09-24,Japan,0.0027198303170937327,635,2023-W39
2023-10-01,Japan,0.00275449871581152,641,2023-W40
2023-10-08,Japan,0.003024045556508611,640,2023-W41
2023-10-15,Japan,0.003293592397205701,638,2023-W42
2023-10-22,Japan,0.003563139237902792,637,2023-W43
2023-10-29,Japan,0.0038326860785998828,636,2023-W44
2023-11-05,Japan,0.00415461047021772,630,2023-W45
2023-11-12,Japan,0.00451581802502612,620,2023-W46
2023-11-19,Japan,0.004877025579834518,610,2023-W47
2023-11-26,Japan,0.005238233134642917,601,2023-W48
2023-12-03,Japan,0.005535228782226567,592,2023-W49
2023-12-10,Japan,0.005671694661748345,586,2023-W50
2023-12-17,Japan,0.005808160541270124,579,2023-W51
2023-12-24,Japan,0.005944626420791903,572,2023-W52
2023-12-31,Japan,0.006081092300313682,566,2023-W53
2024-01-07,Japan,0.005828975923497517,587,2024-W01
2024-01-14,Japan,0.005512095837291697,612,2024-W02
2024-01-21,Japan,0.005195215751085875,638,2024-W03
2024-01-28,Japan,0.004878335664880055,663,2024-W04
2024-02-04,Japan,0.004528762390770007,670,2024-W05
2024-02-11,Japan,0.004135598199454324,650,2024-W06
2024-02-18,Japan,0.003742434008138641,631,2024-W07
2024-02-25,Japan,0.0033492698168229576,612,2024-W08
2024-03-03,Japan,0.0030181105403000483,598,2024-W09
2024-03-10,Japan,0.0028419635507590715,598,2024-W10
2024-03-17,Japan,0.0026658165612180947,597,2024-W11
2024-03-24,Japan,0.002489669571677118,597,2024-W12
2024-03-31,Japan,0.002313522582136141,597,2024-W13
